author,total,pre (<=2022),post (>=2024),other_year,min_pre_post,wc_min,wc_max,wc_mean
kaj_sotala,43,18,18,7,18,2032,20636,5051
abramdemski,41,14,21,6,14,2029,16676,3984
jessica-liu-taylor,39,14,20,5,14,2038,14379,4354
benquo,30,16,14,0,14,2012,9325,3484
zack_m_davis,36,13,13,10,13,2016,26317,5809
sarahconstantin,38,12,26,0,12,2017,4229,2787
adamshimi,39,28,11,0,11,2054,11038,3892
ruby,24,10,11,3,10,2059,11522,4153
david-gross,43,34,9,0,9,2065,20283,5504
gordon-seidoh-worley,33,21,9,3,9,2094,10039,3693
eliezer_yudkowsky,44,35,8,1,8,2265,23974,7334
turntrout,27,19,7,1,7,2005,15858,3928
elizabeth-1,24,7,9,8,7,2000,10860,4188
marius-hobbhahn,23,10,7,6,7,2343,12679,4299
philh,24,13,6,5,6,2148,12269,3963
jacob-falkovich,32,24,5,3,5,2012,5191,3141
benito,25,16,5,4,5,2009,24260,4728
petermccluskey,19,12,5,2,5,2108,5633,2907
ricraz,38,4,19,15,4,2020,7937,3201
jasoncrawford,29,10,4,15,4,2009,7837,3510
jan_kulveit,18,4,10,4,4,2356,8747,3246
nunosempere,17,13,4,0,4,2022,5051,2951
buck,33,3,25,5,3,2028,18513,4871
scottalexander,45,40,2,3,2,2016,15024,5301
tsvibt,37,2,14,21,2,2152,45876,6224
holdenkarnofsky,35,23,1,11,1,2057,13193,4990
katjagrace,22,21,1,0,1,2069,16604,4052
so8res,21,13,1,7,1,2168,9163,3702
jkaufman,9,6,1,2,1,2073,3540,2655
zvi,46,0,46,0,0,2475,34919,9307
joe-carlsmith,42,0,34,8,0,2302,21546,9761
steve2152,42,0,42,0,0,2081,13895,6102
ryan_greenblatt,41,0,41,0,0,2077,25353,5364
raemon,37,0,32,5,0,2024,13273,3637
johnswentworth,31,0,27,4,0,2001,9821,3645
screwtape,29,0,27,2,0,2029,11374,3128
lukeprog,25,25,0,0,0,2137,8345,3575
habryka4,18,0,13,5,0,2008,20783,5702
neel-nanda-1,14,0,14,0,0,2161,11221,4368
dan-h,10,0,0,10,0,2178,6711,4156
