author,total,pre (<=2022),post (>=2024),other_year,min_pre_post,wc_min,wc_max,wc_mean
kaj_sotala,39,16,16,7,16,2503,20636,5345
zack_m_davis,29,9,12,8,9,2634,26317,6670
abramdemski,26,9,14,3,9,2595,16676,4988
benquo,21,12,9,0,9,2501,9325,4054
eliezer_yudkowsky,43,34,8,1,8,2812,23974,7452
jessica-liu-taylor,29,8,16,5,8,2568,14379,5072
david-gross,34,27,7,0,7,2556,20283,6375
adamshimi,28,21,7,0,7,2579,11038,4533
sarahconstantin,22,7,15,0,7,2502,4229,3197
ruby,19,7,9,3,7,2538,11522,4652
gordon-seidoh-worley,25,16,6,3,6,2594,10039,4146
marius-hobbhahn,21,9,6,6,6,2935,12679,4482
philh,22,12,5,5,5,2592,12269,4122
ricraz,25,4,11,10,4,2529,7937,3734
jacob-falkovich,23,16,4,3,4,2514,5191,3487
turntrout,21,16,4,1,4,2739,15858,4436
elizabeth-1,17,4,7,6,4,2648,10860,4981
jan_kulveit,14,4,8,2,4,2520,8747,3487
petermccluskey,12,9,3,0,3,2641,5633,3275
scottalexander,38,33,2,3,2,2506,15024,5867
benito,18,12,2,4,2,2583,24260,5695
tsvibt,31,1,13,17,1,2558,45876,6989
holdenkarnofsky,30,20,1,9,1,2813,13193,5449
buck,22,1,19,2,1,2646,18513,6193
jasoncrawford,20,7,1,12,1,2911,7837,4089
katjagrace,11,10,1,0,1,2567,16604,5947
nunosempere,11,10,1,0,1,2500,5051,3370
zvi,45,0,45,0,0,2528,34919,9459
joe-carlsmith,41,0,33,8,0,2577,21546,9943
steve2152,38,0,38,0,0,2608,13895,6507
ryan_greenblatt,33,0,33,0,0,2503,25353,6119
raemon,23,0,20,3,0,2519,13273,4470
johnswentworth,18,0,14,4,0,2524,9821,4695
screwtape,18,0,16,2,0,2528,11374,3699
lukeprog,17,17,0,0,0,2529,8345,4194
so8res,16,10,0,6,0,2554,9163,4136
habryka4,12,0,9,3,0,3090,20783,7479
neel-nanda-1,9,0,9,0,0,2893,11221,5510
dan-h,8,0,0,8,0,3529,6711,4643
jkaufman,4,4,0,0,0,2911,3540,3184
