author,total,pre (<=2022),post (>=2024),other_year,min_pre_post,wc_min,wc_max,wc_mean
kaj_sotala,32,14,12,6,12,3054,20636,5918
eliezer_yudkowsky,41,33,7,1,7,3177,23974,7675
zack_m_davis,24,7,11,6,7,3080,26317,7491
jessica-liu-taylor,23,7,12,4,7,3123,14379,5680
benquo,14,7,7,0,7,3059,9325,4731
david-gross,27,21,6,0,6,3140,20283,7322
abramdemski,20,6,12,2,6,3116,16676,5654
marius-hobbhahn,20,8,6,6,6,3000,12679,4559
philh,15,8,5,2,5,3209,12269,4800
ruby,14,5,6,3,5,3132,11522,5358
adamshimi,21,17,4,0,4,3028,11038,5128
turntrout,18,13,4,1,4,3058,15858,4717
gordon-seidoh-worley,16,10,4,2,4,3003,10039,4917
sarahconstantin,12,4,8,0,4,3122,4229,3609
jan_kulveit,8,3,5,0,3,3012,8747,4087
scottalexander,31,26,2,3,2,3277,15024,6585
ricraz,18,2,9,7,2,3015,7937,4133
benito,12,6,2,4,2,3001,24260,7180
elizabeth-1,12,2,5,5,2,3052,10860,5907
petermccluskey,7,5,2,0,2,3029,5633,3646
holdenkarnofsky,27,18,1,8,1,3094,13193,5740
tsvibt,26,1,12,13,1,3102,45876,7786
jasoncrawford,19,7,1,11,1,3087,7837,4151
jacob-falkovich,15,13,1,1,1,3130,5191,3832
katjagrace,6,5,1,0,1,3329,16604,8643
nunosempere,6,5,1,0,1,3176,5051,3911
zvi,43,0,43,0,0,3078,34919,9780
joe-carlsmith,39,0,31,8,0,3010,21546,10317
steve2152,34,0,34,0,0,3682,13895,6946
ryan_greenblatt,28,0,28,0,0,3075,25353,6726
buck,17,0,16,1,0,3103,18513,7203
raemon,16,0,15,1,0,3006,13273,5242
johnswentworth,15,0,11,4,0,3014,9821,5115
habryka4,12,0,9,3,0,3090,20783,7479
lukeprog,11,11,0,0,0,3067,8345,5071
so8res,10,6,0,4,0,3182,9163,5005
screwtape,9,0,8,1,0,3057,11374,4720
dan-h,8,0,0,8,0,3529,6711,4643
neel-nanda-1,8,0,8,0,0,3260,11221,5837
jkaufman,3,3,0,0,0,3020,3540,3274
