_label,n_tokens,n_sentences,n_vocab,type_token_ratio,avg_word_len,std_word_len,median_word_len,max_word_len,word_len_1_frac,word_len_2_frac,word_len_3_frac,word_len_4_frac,word_len_5_frac,word_len_6_frac,avg_sent_len,std_sent_len,median_sent_len,max_sent_len,min_sent_len,hapax_ratio,hapax_dis_ratio,yule_k,simpson_d,brunet_w,honore_r,fw_the,fw_be,fw_to,fw_of,fw_and,fw_a,fw_in,fw_that,fw_have,fw_i,fw_it,fw_for,fw_not,fw_on,fw_with,fw_he,fw_as,fw_you,fw_do,fw_at,fw_this,fw_but,fw_his,fw_by,fw_from,fw_they,fw_we,fw_say,fw_her,fw_she,fw_or,fw_an,fw_will,fw_my,fw_one,fw_all,fw_would,fw_there,fw_their,fw_what,fw_so,fw_up,fw_out,fw_if,fw_about,fw_who,fw_get,fw_which,fw_go,fw_me,cat_hedge_rate,cat_amplifier_rate,cat_discourse_rate,cat_conj_rate,punct_comma_rate,punct_period_rate,punct_semicolon_rate,punct_colon_rate,punct_excl_rate,punct_question_rate,punct_dash_rate,punct_paren_rate,punct_apost_rate,punct_dquote_rate,contraction_rate,pronoun_start_rate,avg_paragraph_len,pos_noun,pos_verb,pos_adj,pos_adv,pos_pron,pos_det,pos_prep,pos_conj,pos_modal,uppercase_ratio,char_a_rate,char_e_rate,char_i_rate,char_o_rate,char_u_rate,author
abramdemski.json_2021-01-05_doc1,5499,247,1143,0.2078559738134206,4.744317148572468,2.6886204164500644,4.0,15.0,0.0314602655028187,0.2082196763047827,0.1580287324968176,0.1574831787597745,0.1282051282051282,0.07892344062556829,25.85425101214575,14.60003231049018,23.0,85.0,2.0,0.10711038370612838,0.03855246408437898,91.29600544674078,0.009131261075875365,13.0044149573446,1776.8742809076589,0.053100563738861614,0.008183306055646482,0.03673395162756865,0.02745953809783597,0.01182033096926714,0.021640298236042917,0.015821058374249863,0.015821058374249863,0.0036370249136206583,0.008365157301327515,0.011638479723586106,0.0072740498272413166,0.006546644844517185,0.00436442989634479,0.006001091107474086,0.0,0.011092925986543007,0.009274413529732678,0.008001454809965449,0.0030914711765775596,0.013820694671758501,0.005819239861793053,0.0001818512456810329,0.002364066193853428,0.0032733224222585926,0.0016366612111292963,0.017275868339698127,0.0007274049827241316,0.0,0.0001818512456810329,0.0036370249136206583,0.007819603564284416,0.002727768685215494,0.0016366612111292963,0.0016366612111292963,0.0030914711765775596,0.006364793598836152,0.00436442989634479,0.0005455537370430987,0.007819603564284416,0.002727768685215494,0.0012729587197672304,0.002182214948172395,0.007637752318603383,0.006182942353155119,0.0010911074740861974,0.0014548099654482633,0.009638116021094744,0.0,0.0001818512456810329,0.010911074740861976,0.0029096199308965265,0.0030914711765775596,0.03436988543371522,0.05110020003637025,0.0425531914893617,0.0018185124568103291,0.007819603564284416,0.0001818512456810329,0.002364066193853428,0.012002182214948172,0.00745590107292235,0.02000363702491362,0.010183669758137844,0.02000363702491362,0.1417004048582996,5499.0,0.23877068557919623,0.18057828696126568,0.08747044917257683,0.06382978723404255,0.07710492816875796,0.12638661574831786,0.12220403709765412,0.022185851973086014,0.02745953809783597,0.017125456025567583,0.08031797217743447,0.11417750946792156,0.08013048858224905,0.0769057707450598,0.03460947167122877,abramdemski
abramdemski.json_2021-03-01_doc2,2603,156,680,0.2612370341913177,4.592009220130619,2.592189114848187,4.0,15.0,0.06338839800230503,0.17787168651555896,0.15405301575105648,0.1882443334613907,0.11909335382251249,0.0695351517479831,20.96153846153846,12.31628305952599,18.0,71.0,4.0,0.13983864771417595,0.04917402996542451,83.09806542850983,0.008313000165657612,12.953768668266259,1692.34352385959,0.043411448328851326,0.009604302727621975,0.028044563964656165,0.02266615443718786,0.008451786400307337,0.02343449865539762,0.013446023818670765,0.016903572800614674,0.0072992700729927005,0.018056089127929314,0.016519400691509797,0.013830195927775643,0.006146753745678064,0.003073376872839032,0.0042258932001536685,0.0,0.0072992700729927005,0.017287744909719554,0.002689204763734153,0.006915097963887821,0.016519400691509797,0.008835958509412217,0.000384172109104879,0.00384172109104879,0.001920860545524395,0.002689204763734153,0.009220130618517095,0.001152516327314637,0.0,0.0,0.001152516327314637,0.0034575489819439107,0.004994237418363427,0.00384172109104879,0.00384172109104879,0.005378409527468306,0.00384172109104879,0.001536688436419516,0.001152516327314637,0.001920860545524395,0.006530925854782943,0.001536688436419516,0.003073376872839032,0.0072992700729927005,0.005762581636573185,0.000768344218209758,0.0,0.005762581636573185,0.001920860545524395,0.000768344218209758,0.005378409527468306,0.003073376872839032,0.0034575489819439107,0.04533230887437572,0.05647330003841721,0.05416826738378794,0.003073376872839032,0.012293507491356128,0.004610065309258548,0.003073376872839032,0.014598540145985401,0.01152516327314637,0.029197080291970802,0.014598540145985401,0.029197080291970802,0.1282051282051282,2603.0,0.2470226661544372,0.1828659239339224,0.09181713407606608,0.0733768728390319,0.08374951978486363,0.11794083749519785,0.12293507491356127,0.01920860545524395,0.01882443334613907,0.02109335996005991,0.06984735874690322,0.11212339167266043,0.08918724526492448,0.07640054343482777,0.03764085351234716,abramdemski
abramdemski.json_2021-03-16_doc3,4236,253,1009,0.2381964117091596,4.496931067044382,2.4456780066376247,4.0,15.0,0.05571293673276676,0.16949952785646838,0.18035882908404155,0.19452313503305005,0.11048158640226628,0.07979225684608121,20.26086956521739,11.287613031084495,18.0,72.0,2.0,0.13125590179414542,0.03847969782813975,85.95219178925011,0.008597248746617792,12.698598873723808,1860.1627106140813,0.03541076487252125,0.007318224740321058,0.04084041548630784,0.021718602455146365,0.016288951841359773,0.0339943342776204,0.0113314447592068,0.007554296506137866,0.0066100094428706326,0.021010387157695938,0.01392823418319169,0.012747875354107648,0.003777148253068933,0.008262511803588292,0.008262511803588292,0.00023607176581680832,0.0035410764872521247,0.02903682719546742,0.008262511803588292,0.0018885741265344666,0.01251180358829084,0.004957507082152974,0.00047214353163361664,0.0035410764872521247,0.003777148253068933,0.0011803588290840415,0.0040132200188857416,0.00023607176581680832,0.0,0.0,0.004721435316336166,0.002124645892351275,0.00141643059490085,0.004721435316336166,0.0044853635505193576,0.00141643059490085,0.005901794145420208,0.0035410764872521247,0.000708215297450425,0.00424929178470255,0.005429650613786591,0.00424929178470255,0.0018885741265344666,0.005429650613786591,0.0044853635505193576,0.0009442870632672333,0.0016525023607176581,0.0084985835694051,0.000708215297450425,0.002124645892351275,0.009442870632672332,0.00141643059490085,0.002124645892351275,0.04886685552407932,0.05476864966949953,0.05736543909348442,0.0040132200188857416,0.008026440037771483,0.0009442870632672333,0.002360717658168083,0.013456090651558074,0.009206798866855524,0.02502360717658168,0.015108593012275733,0.020302171860245515,0.2450592885375494,4236.0,0.22733711048158642,0.19405099150141644,0.07861189801699717,0.060906515580736544,0.09560906515580736,0.1135505193578848,0.11709159584513693,0.026203966005665724,0.021482530689329555,0.02154018303161092,0.07036549559582869,0.10696567783740002,0.07993317809051331,0.08803280348283891,0.03209476561709021,abramdemski
abramdemski.json_2021-03-18_doc4,2295,130,614,0.26753812636165575,4.674074074074074,2.49078540669915,4.0,16.0,0.027450980392156862,0.1599128540305011,0.18649237472766886,0.21830065359477124,0.12461873638344227,0.06710239651416122,21.2,12.714256080963121,18.0,78.0,2.0,0.14248366013071895,0.046623093681917215,103.45498644870682,0.010350008452475246,13.000949465668809,1655.5511174953704,0.06797385620915032,0.006535947712418301,0.03093681917211329,0.02309368191721133,0.012636165577342049,0.02178649237472767,0.013943355119825708,0.00784313725490196,0.004793028322440087,0.00522875816993464,0.011328976034858388,0.013507625272331155,0.003485838779956427,0.008278867102396514,0.006100217864923747,0.00043572984749455336,0.00522875816993464,0.006100217864923747,0.00261437908496732,0.0017429193899782135,0.012636165577342049,0.007407407407407408,0.00043572984749455336,0.00261437908496732,0.00522875816993464,0.012636165577342049,0.005664488017429194,0.00043572984749455336,0.0,0.0,0.004357298474945534,0.00392156862745098,0.004357298474945534,0.00130718954248366,0.008714596949891068,0.002178649237472767,0.006100217864923747,0.00130718954248366,0.008714596949891068,0.00130718954248366,0.006100217864923747,0.003485838779956427,0.0008714596949891067,0.006535947712418301,0.002178649237472767,0.0008714596949891067,0.005664488017429194,0.00784313725490196,0.00043572984749455336,0.0,0.009150326797385621,0.002178649237472767,0.00261437908496732,0.04793028322440087,0.058387799564270156,0.05010893246187364,0.002178649237472767,0.00784313725490196,0.0017429193899782135,0.005664488017429194,0.018736383442265796,0.004793028322440087,0.018736383442265796,0.013943355119825708,0.018736383442265796,0.038461538461538464,2295.0,0.265359477124183,0.16993464052287582,0.0766884531590414,0.06274509803921569,0.06143790849673203,0.13420479302832244,0.12026143790849673,0.02483660130718954,0.02875816993464052,0.020923469749627634,0.06959772160911357,0.12397650409398363,0.07885368458526167,0.08810964756140975,0.02367390530437878,abramdemski
abramdemski.json_2021-04-02_doc5,1903,118,607,0.31897004729374673,4.626904887020494,2.612985727854213,4.0,14.0,0.04256437204414083,0.2070415133998949,0.15396741986337362,0.1723594324750394,0.11297950604308986,0.09038360483447189,19.322033898305083,8.958360696675049,18.0,46.0,3.0,0.19600630583289544,0.05202312138728324,84.72392927725093,0.008476847392986778,12.278872013026525,1958.79078138836,0.0325801366263794,0.009458749343142408,0.04466631634261692,0.021019442984760904,0.008933263268523384,0.028901734104046242,0.013662637940094587,0.013137151865475564,0.007882291119285338,0.013137151865475564,0.016815554387808723,0.008933263268523384,0.0036784025223331584,0.007356805044666317,0.006831318970047294,0.0,0.0031529164477141357,0.020493956910141883,0.013662637940094587,0.004203888596952181,0.01418812401471361,0.004729374671571204,0.0,0.004203888596952181,0.005254860746190226,0.006831318970047294,0.013662637940094587,0.0010509721492380452,0.0,0.0,0.0031529164477141357,0.009458749343142408,0.0010509721492380452,0.004729374671571204,0.005254860746190226,0.002627430373095113,0.0021019442984760903,0.005254860746190226,0.0005254860746190226,0.009984235417761429,0.0021019442984760903,0.002627430373095113,0.005780346820809248,0.0036784025223331584,0.005780346820809248,0.0010509721492380452,0.0015764582238570678,0.007356805044666317,0.0005254860746190226,0.0021019442984760903,0.013662637940094587,0.0015764582238570678,0.004729374671571204,0.03573305307409354,0.04676826064109301,0.05465055176037835,0.0005254860746190226,0.007882291119285338,0.0031529164477141357,0.006831318970047294,0.011035207566999475,0.002627430373095113,0.031003678402522335,0.01786652653704677,0.031003678402522335,0.13559322033898305,1903.0,0.2254335260115607,0.19600630583289544,0.06726221755123489,0.05885444035733053,0.10825013137151865,0.11087756174461377,0.11928533893851813,0.017341040462427744,0.02207041513399895,0.01564001747487986,0.0724399078037537,0.1130501591482823,0.07441554165294699,0.0876961914169685,0.03117111184282735,abramdemski
abramdemski.json_2021-04-06_doc6,3886,227,929,0.2390633041688111,5.044004117344313,2.992591439610456,4.0,16.0,0.04709212557900155,0.18373648996397324,0.152856407617087,0.15440041173443128,0.09289758106021616,0.08286155429747813,20.77533039647577,10.640199281492288,19.0,57.0,2.0,0.1273803396809058,0.03705609881626351,78.80274916965742,0.007882303301757754,12.822991913710728,1769.1960829981174,0.04323211528564076,0.012866700977869275,0.02959341224909933,0.023674729799279464,0.011065362840967576,0.023160061760164694,0.019042717447246525,0.014153371075656201,0.0033453422542460112,0.016984045290787442,0.014668039114770973,0.007462686567164179,0.010293360782295419,0.0025733401955738548,0.0051466803911477095,0.0012866700977869274,0.004632012352032939,0.014410705095213588,0.0038600102933607824,0.002058672156459084,0.014153371075656201,0.004889346371590325,0.000514668039114771,0.0051466803911477095,0.0023160061760164694,0.004374678332475553,0.005661348430262481,0.0012866700977869274,0.0,0.0,0.0023160061760164694,0.004117344312918168,0.0025733401955738548,0.005661348430262481,0.0051466803911477095,0.001544004117344313,0.003088008234688626,0.0033453422542460112,0.003602676273803397,0.006433350488934638,0.004374678332475553,0.001544004117344313,0.0012866700977869274,0.006948018528049408,0.0028306742151312406,0.0012866700977869274,0.001029336078229542,0.007205352547606794,0.0007720020586721565,0.0002573340195573855,0.010550694801852806,0.003088008234688626,0.005918682449819866,0.033968090581574885,0.056356150283067424,0.058929490478641273,0.002058672156459084,0.006176016469377252,0.0023160061760164694,0.0025733401955738548,0.014925373134328358,0.010036026762738034,0.025476067936181162,0.022645393721049924,0.024961399897066392,0.16740088105726872,3886.0,0.2148739063304169,0.18579516212043232,0.10910962429233144,0.08003088008234689,0.088780236747298,0.11013896037056099,0.1152856407617087,0.01930005146680391,0.029336078229541946,0.018284218458731606,0.07178327351393873,0.12498156251536457,0.09479325433895472,0.06966910860907616,0.02959830866807611,abramdemski
abramdemski.json_2021-04-09_doc7,6486,366,1217,0.18763490595127968,4.801418439716312,2.941096803681746,4.0,16.0,0.05689176688251619,0.18670983657107618,0.1620413197656491,0.15911193339500462,0.12303422756706753,0.070613629355535,21.47814207650273,12.8232333902533,19.0,100.0,1.0,0.09204440333024977,0.029910576626580327,81.38404603800933,0.008139659562105297,13.281893076487904,1722.9189300189453,0.05195806352143077,0.012025901942645698,0.027906259636139377,0.020968239284613013,0.010484119642306507,0.022664199814986123,0.017113783533765033,0.016342892383595438,0.004933703361085414,0.014492753623188406,0.014955288313290164,0.01156336725254394,0.004316990440949738,0.00786308973172988,0.005396238051187172,0.0001541782300339192,0.008017267961763799,0.003083564600678384,0.004625346901017576,0.004008633980881899,0.013876040703052728,0.007246376811594203,0.0,0.0027752081406105457,0.004008633980881899,0.0012334258402713536,0.014030218933086648,0.00046253469010175765,0.0,0.00046253469010175765,0.0020043169904409497,0.0033919210607462227,0.0027752081406105457,0.0012334258402713536,0.0027752081406105457,0.0016959605303731114,0.005396238051187172,0.004933703361085414,0.00046253469010175765,0.006938020351526364,0.0067838421214924454,0.0016959605303731114,0.0032377428307123032,0.007246376811594203,0.004779525131051496,0.001541782300339192,0.0020043169904409497,0.005704594511255011,0.0006167129201356768,0.0006167129201356768,0.008942337341967314,0.0032377428307123032,0.0033919210607462227,0.04579093432007401,0.05087881591119334,0.04949121184088807,0.003083564600678384,0.006629663891458526,0.00046253469010175765,0.008017267961763799,0.020043169904409498,0.011409189022510022,0.005550416281221091,0.0027752081406105457,0.005550416281221091,0.14207650273224043,6486.0,0.2496145544249152,0.1799259944495837,0.0971322849213691,0.06691335183472093,0.0658341042244835,0.11609620721554116,0.12796793092815295,0.020351526364477335,0.027752081406105456,0.028688524590163935,0.07495423944404803,0.11233828684888159,0.08078677132131666,0.08295845872242733,0.03198585300778705,abramdemski
abramdemski.json_2021-04-20_doc8,2484,134,707,0.28462157809983896,5.005636070853462,2.8207250794495677,4.0,14.0,0.046296296296296294,0.18840579710144928,0.11996779388083736,0.1678743961352657,0.10869565217391304,0.0821256038647343,22.582089552238806,11.378362883228332,21.0,68.0,2.0,0.15458937198067632,0.04106280193236715,78.32414084602,0.007835568500262331,12.542849840752114,1711.164454563075,0.04146537842190016,0.009259259259259259,0.0285829307568438,0.028985507246376812,0.007246376811594203,0.02576489533011272,0.013687600644122383,0.018518518518518517,0.004830917874396135,0.016908212560386472,0.017310789049919485,0.010064412238325281,0.007648953301127214,0.006843800322061192,0.005636070853462158,0.0,0.010064412238325281,0.0012077294685990338,0.004025764895330112,0.00322061191626409,0.021739130434782608,0.005233494363929146,0.0,0.0012077294685990338,0.00322061191626409,0.00040257648953301127,0.010064412238325281,0.0008051529790660225,0.0,0.0,0.0036231884057971015,0.00966183574879227,0.001610305958132045,0.002818035426731079,0.0024154589371980675,0.0012077294685990338,0.006038647342995169,0.004025764895330112,0.0012077294685990338,0.002012882447665056,0.0036231884057971015,0.002012882447665056,0.0012077294685990338,0.008051529790660225,0.0036231884057971015,0.0,0.0012077294685990338,0.01247987117552335,0.00040257648953301127,0.001610305958132045,0.010466988727858293,0.007246376811594203,0.004428341384863124,0.03421900161030596,0.048711755233494365,0.051932367149758456,0.002012882447665056,0.010869565217391304,0.00040257648953301127,0.00322061191626409,0.0322061191626409,0.007648953301127214,0.020933977455716585,0.03140096618357488,0.018115942028985508,0.14925373134328357,2484.0,0.23268921095008052,0.17834138486312398,0.10144927536231885,0.08494363929146538,0.06280193236714976,0.13083735909822866,0.1280193236714976,0.016505636070853463,0.020933977455716585,0.019299629786975785,0.06833183318331833,0.12526252625262527,0.09180918091809182,0.07208220822082208,0.024452445244524453,abramdemski
abramdemski.json_2021-05-12_doc9,4681,246,1129,0.2411877803888058,4.8991668446913055,2.859540553112913,4.0,18.0,0.04272591326639607,0.18756675923947874,0.15381328775902586,0.16641743217261268,0.11600085451826533,0.06836146122623371,22.89430894308943,13.46710114094071,20.0,74.0,1.0,0.12305063020722068,0.039521469771416365,87.63421616363924,0.008765294142350328,12.461682331548673,1725.403343513161,0.05340739158299509,0.01174962614825892,0.03460798974578082,0.03076265755180517,0.010895107882930999,0.02478102969450972,0.014099551377910703,0.01944029053621021,0.007049775688955351,0.01281777397991882,0.010040589617603077,0.010467848750267038,0.005767998290963469,0.006836146122623371,0.005340739158299509,0.0,0.005554368724631489,0.005340739158299509,0.004272591326639607,0.004486220892971587,0.017090365306558428,0.0034180730613116855,0.0,0.002349925229651784,0.0014954069643238624,0.0019226660969878231,0.016876735740226446,0.0008545182653279214,0.0,0.0,0.005340739158299509,0.004913480025635548,0.003204443494979705,0.0017090365306558428,0.0034180730613116855,0.001281777397991882,0.005127109591967528,0.002563554795983764,0.0010681478316599017,0.0014954069643238624,0.004486220892971587,0.000640888698995941,0.0034180730613116855,0.005340739158299509,0.0034180730613116855,0.0004272591326639607,0.0017090365306558428,0.008545182653279214,0.0,0.002349925229651784,0.011108737449262978,0.004272591326639607,0.002990813928647725,0.04016235847041231,0.05127109591967528,0.04699850459303568,0.0010681478316599017,0.005767998290963469,0.0027771843623157445,0.004058961760307627,0.02456740012817774,0.013885921811578723,0.01837214270455031,0.011535996581926939,0.01837214270455031,0.12195121951219512,4681.0,0.2328562273018586,0.17838068788720357,0.10147404400769067,0.06836146122623371,0.05938901944029054,0.13010040589617602,0.12796411023285623,0.020508438367870113,0.0249946592608417,0.014162439891970226,0.07338775510204082,0.11975510204081632,0.08224489795918367,0.08073469387755101,0.02783673469387755,abramdemski
abramdemski.json_2021-05-27_doc10,1532,70,476,0.31070496083550914,4.659921671018277,2.731431398980607,4.0,14.0,0.04960835509138381,0.2212793733681462,0.15078328981723238,0.1409921671018277,0.12140992167101827,0.06657963446475196,26.685714285714287,13.410595871647653,24.5,65.0,8.0,0.17362924281984335,0.0587467362924282,101.86517053085099,0.010193170558671699,12.67806156809147,1662.4479860681215,0.05352480417754569,0.009138381201044387,0.026762402088772844,0.031331592689295036,0.011096605744125326,0.030678851174934726,0.013054830287206266,0.015013054830287207,0.0039164490861618795,0.016971279373368148,0.024151436031331592,0.00587467362924282,0.009138381201044387,0.006527415143603133,0.0045691906005221935,0.0,0.0097911227154047,0.018929503916449087,0.007832898172323759,0.0026109660574412533,0.015013054830287207,0.00587467362924282,0.0,0.0045691906005221935,0.0013054830287206266,0.0019582245430809398,0.01174934725848564,0.0006527415143603133,0.0,0.0,0.006527415143603133,0.005221932114882507,0.0,0.005221932114882507,0.0006527415143603133,0.0013054830287206266,0.0032637075718015664,0.007832898172323759,0.0006527415143603133,0.0097911227154047,0.0026109660574412533,0.0013054830287206266,0.0006527415143603133,0.009138381201044387,0.006527415143603133,0.0006527415143603133,0.0026109660574412533,0.006527415143603133,0.0006527415143603133,0.0026109660574412533,0.007180156657963447,0.005221932114882507,0.0032637075718015664,0.03981723237597911,0.05026109660574413,0.04634464751958225,0.0026109660574412533,0.008485639686684074,0.0032637075718015664,0.0019582245430809398,0.007180156657963447,0.015013054830287207,0.034595300261096605,0.033942558746736295,0.034595300261096605,0.2714285714285714,1532.0,0.21214099216710183,0.18798955613577023,0.08550913838120104,0.06592689295039166,0.10443864229765012,0.12924281984334204,0.12663185378590078,0.024151436031331592,0.016971279373368148,0.012334992425881843,0.07523510971786834,0.12184816682567808,0.08055063377402208,0.07373585934305575,0.036936077415837536,abramdemski
