=== [1/2] cleaned_10: 10 authors, K=4, sample 4 authors + M docs ===

Loading cleaned_10 corpus …
  400 docs × 1500w  (10 authors)
Building stylometric feature matrix …
  feature cache hit -> src\kmeans\cache\cleaned_10\2b210234ff591af9.npz
  X shape: (400, 107)

ARI sweep: K=4, M in [5, 10, 15, 20], 50 trials per M
  group pool = C(10,4) = 210
    M= 5: 5 docs/author, total=20 docs/trial
    M=10: 10 docs/author, total=40 docs/trial
    M=15: 15 docs/author, total=60 docs/trial
    M=20: 20 docs/author, total=80 docs/trial
  KMeans: init='k-means++', n_init=10
  M= 5  trial  44/50  ARI=+0.137  n_docs= 20  authors=['abramdemski', 'jessica-liu-taylor', 'johnswentworth', 'kaj_sotala']
  M= 5  trial  45/50  ARI=+0.160  n_docs= 20  authors=['jessica-liu-taylor', 'kaj_sotala', 'ricraz', 'ruby']
  M= 5  trial  46/50  ARI=+0.509  n_docs= 20  authors=['neel-nanda-1', 'raemon', 'ricraz', 'zvi']
  M= 5  trial  47/50  ARI=+0.307  n_docs= 20  authors=['jessica-liu-taylor', 'johnswentworth', 'kaj_sotala', 'neel-nanda-1']
  M= 5  trial  48/50  ARI=+0.302  n_docs= 20  authors=['jessica-liu-taylor', 'kaj_sotala', 'ricraz', 'zvi']
  M= 5  trial  49/50  ARI=+0.420  n_docs= 20  authors=['jessica-liu-taylor', 'johnswentworth', 'neel-nanda-1', 'zvi']
  M= 5  trial  50/50  ARI=+0.859  n_docs= 20  authors=['abramdemski', 'johnswentworth', 'ricraz', 'ruby']
  M=10  trial   1/50  ARI=+0.665  n_docs= 40  authors=['abramdemski', 'neel-nanda-1', 'raemon', 'zvi']
  M=10  trial   2/50  ARI=+0.165  n_docs= 40  authors=['abramdemski', 'neel-nanda-1', 'ricraz', 'ruby']
  M=10  trial   3/50  ARI=+0.520  n_docs= 40  authors=['jessica-liu-taylor', 'neel-nanda-1', 'ricraz', 'steve2152']
  M=10  trial   4/50  ARI=+0.379  n_docs= 40  authors=['jessica-liu-taylor', 'johnswentworth', 'steve2152', 'zvi']
  M=10  trial   5/50  ARI=+0.146  n_docs= 40  authors=['jessica-liu-taylor', 'johnswentworth', 'ruby', 'steve2152']
  M=10  trial   6/50  ARI=+0.367  n_docs= 40  authors=['abramdemski', 'raemon', 'ricraz', 'ruby']
