============================================================
Experiment 1 — cleaned_10  (10 authors × 40 articles, ≥1500w)
============================================================
  400 docs, 10 authors
    abramdemski: 40 docs
    jessica-liu-taylor: 40 docs
    johnswentworth: 40 docs
    kaj_sotala: 40 docs
    neel-nanda-1: 40 docs
    raemon: 40 docs
    ricraz: 40 docs
    ruby: 40 docs
    steve2152: 40 docs
    zvi: 40 docs

Sweeping N in [100, 200, 500, 1000, 1500]  (K=5, M=15, 50 trials/N, n_init=10)
  Sampling K=5 authors from 10 per trial

  feature cache hit -> src\kmeans\cache\cleaned_10\29e27bc51a523bd0.npz
  N=  100  trial 45/50  ARI=+0.006  authors=['steve2152', 'ruby', 'jessica-liu-taylor', 'kaj_sotala', 'neel-nanda-1']
  N=  100  trial 46/50  ARI=+0.075  authors=['jessica-liu-taylor', 'steve2152', 'zvi', 'kaj_sotala', 'neel-nanda-1']
  N=  100  trial 47/50  ARI=+0.073  authors=['jessica-liu-taylor', 'neel-nanda-1', 'zvi', 'ricraz', 'johnswentworth']
  N=  100  trial 48/50  ARI=+0.077  authors=['ricraz', 'zvi', 'steve2152', 'abramdemski', 'ruby']
  N=  100  trial 49/50  ARI=+0.013  authors=['ruby', 'jessica-liu-taylor', 'kaj_sotala', 'zvi', 'johnswentworth']
  N=  100  trial 50/50  ARI=+0.115  authors=['ruby', 'abramdemski', 'johnswentworth', 'kaj_sotala', 'zvi']
  feature cache hit -> src\kmeans\cache\cleaned_10\c079bf1564dc1bf5.npz
  N=  200  trial  1/50  ARI=+0.048  authors=['neel-nanda-1', 'ricraz', 'steve2152', 'jessica-liu-taylor', 'kaj_sotala']
  N=  200  trial  2/50  ARI=+0.052  authors=['jessica-liu-taylor', 'steve2152', 'kaj_sotala', 'raemon', 'ruby']
  N=  200  trial  3/50  ARI=+0.128  authors=['ricraz', 'zvi', 'johnswentworth', 'neel-nanda-1', 'steve2152']
  N=  200  trial  4/50  ARI=+0.085  authors=['jessica-liu-taylor', 'ruby', 'zvi', 'abramdemski', 'raemon']
  N=  200  trial  5/50  ARI=+0.038  authors=['ruby', 'neel-nanda-1', 'ricraz', 'kaj_sotala', 'zvi']
  N=  200  trial  6/50  ARI=+0.176  authors=['raemon', 'kaj_sotala', 'steve2152', 'zvi', 'johnswentworth']
  N=  200  trial  7/50  ARI=+0.123  authors=['abramdemski', 'johnswentworth', 'zvi', 'steve2152', 'ruby']
  N=  200  trial  8/50  ARI=+0.039  authors=['jessica-liu-taylor', 'ruby', 'kaj_sotala', 'raemon', 'abramdemski']
  N=  200  trial  9/50  ARI=+0.050  authors=['kaj_sotala', 'neel-nanda-1', 'raemon', 'zvi', 'ruby']
  N=  200  trial 10/50  ARI=+0.117  authors=['ricraz', 'johnswentworth', 'raemon', 'jessica-liu-taylor', 'ruby']
  N=  200  trial 11/50  ARI=+0.122  authors=['kaj_sotala', 'ricraz', 'johnswentworth', 'raemon', 'jessica-liu-taylor']
  N=  200  trial 12/50  ARI=+0.296  authors=['steve2152', 'kaj_sotala', 'abramdemski', 'raemon', 'jessica-liu-taylor']
  N=  200  trial 13/50  ARI=+0.250  authors=['steve2152', 'ruby', 'zvi', 'abramdemski', 'jessica-liu-taylor']
  N=  200  trial 14/50  ARI=+0.211  authors=['abramdemski', 'kaj_sotala', 'jessica-liu-taylor', 'zvi', 'steve2152']
  N=  200  trial 15/50  ARI=+0.099  authors=['ruby', 'neel-nanda-1', 'raemon', 'jessica-liu-taylor', 'johnswentworth']
  N=  200  trial 16/50  ARI=+0.237  authors=['ricraz', 'zvi', 'ruby', 'steve2152', 'kaj_sotala']
  N=  200  trial 17/50  ARI=+0.072  authors=['zvi', 'steve2152', 'neel-nanda-1', 'johnswentworth', 'ruby']
  N=  200  trial 18/50  ARI=+0.059  authors=['raemon', 'abramdemski', 'zvi', 'steve2152', 'ruby']
  N=  200  trial 19/50  ARI=+0.157  authors=['steve2152', 'ruby', 'raemon', 'johnswentworth', 'zvi']
  N=  200  trial 20/50  ARI=+0.109  authors=['ruby', 'johnswentworth', 'neel-nanda-1', 'ricraz', 'abramdemski']
  N=  200  trial 21/50  ARI=+0.202  authors=['ruby', 'kaj_sotala', 'raemon', 'neel-nanda-1', 'zvi']
  N=  200  trial 22/50  ARI=+0.145  authors=['ruby', 'neel-nanda-1', 'steve2152', 'kaj_sotala', 'zvi']
  N=  200  trial 23/50  ARI=+0.141  authors=['kaj_sotala', 'neel-nanda-1', 'jessica-liu-taylor', 'ricraz', 'steve2152']
  N=  200  trial 24/50  ARI=+0.107  authors=['kaj_sotala', 'abramdemski', 'ricraz', 'jessica-liu-taylor', 'zvi']
  N=  200  trial 25/50  ARI=+0.110  authors=['abramdemski', 'ricraz', 'ruby', 'steve2152', 'johnswentworth']
  N=  200  trial 26/50  ARI=+0.216  authors=['abramdemski', 'jessica-liu-taylor', 'steve2152', 'ricraz', 'johnswentworth']
  N=  200  trial 27/50  ARI=+0.078  authors=['zvi', 'steve2152', 'ruby', 'raemon', 'abramdemski']
  N=  200  trial 28/50  ARI=+0.079  authors=['johnswentworth', 'steve2152', 'jessica-liu-taylor', 'kaj_sotala', 'ricraz']
  N=  200  trial 29/50  ARI=+0.137  authors=['neel-nanda-1', 'jessica-liu-taylor', 'abramdemski', 'steve2152', 'ricraz']
  N=  200  trial 30/50  ARI=+0.090  authors=['zvi', 'kaj_sotala', 'raemon', 'johnswentworth', 'ricraz']
  N=  200  trial 31/50  ARI=+0.093  authors=['johnswentworth', 'kaj_sotala', 'zvi', 'jessica-liu-taylor', 'steve2152']
  N=  200  trial 32/50  ARI=+0.182  authors=['raemon', 'steve2152', 'johnswentworth', 'abramdemski', 'jessica-liu-taylor']
  N=  200  trial 33/50  ARI=+0.014  authors=['jessica-liu-taylor', 'ricraz', 'abramdemski', 'neel-nanda-1', 'steve2152']
  N=  200  trial 34/50  ARI=+0.037  authors=['jessica-liu-taylor', 'neel-nanda-1', 'abramdemski', 'raemon', 'ricraz']
  N=  200  trial 35/50  ARI=+0.092  authors=['steve2152', 'ruby', 'kaj_sotala', 'neel-nanda-1', 'jessica-liu-taylor']
  N=  200  trial 36/50  ARI=+0.113  authors=['abramdemski', 'raemon', 'ruby', 'johnswentworth', 'steve2152']
  N=  200  trial 37/50  ARI=+0.099  authors=['abramdemski', 'johnswentworth', 'raemon', 'kaj_sotala', 'jessica-liu-taylor']
  N=  200  trial 38/50  ARI=+0.105  authors=['jessica-liu-taylor', 'ricraz', 'ruby', 'abramdemski', 'kaj_sotala']
  N=  200  trial 39/50  ARI=+0.340  authors=['zvi', 'neel-nanda-1', 'ricraz', 'raemon', 'steve2152']
  N=  200  trial 40/50  ARI=+0.225  authors=['ricraz', 'abramdemski', 'zvi', 'jessica-liu-taylor', 'steve2152']
  N=  200  trial 41/50  ARI=+0.105  authors=['raemon', 'zvi', 'ruby', 'jessica-liu-taylor', 'neel-nanda-1']
  N=  200  trial 42/50  ARI=+0.071  authors=['jessica-liu-taylor', 'neel-nanda-1', 'kaj_sotala', 'abramdemski', 'ruby']
  N=  200  trial 43/50  ARI=+0.041  authors=['ruby', 'johnswentworth', 'steve2152', 'neel-nanda-1', 'kaj_sotala']
  N=  200  trial 44/50  ARI=+0.125  authors=['zvi', 'ruby', 'johnswentworth', 'jessica-liu-taylor', 'raemon']
