author,total,pre (<=2022),post (>=2024),other_year,min_pre_post,wc_min,wc_max,wc_mean
zvi,69,32,37,0,32,2528,34919,7166
steve2152,65,33,32,0,32,2608,18511,6203
neel-nanda-1,61,32,29,0,29,2523,17990,5028
raemon,39,19,20,0,19,2590,13273,4193
kaj_sotala,46,29,17,0,17,2503,20636,5358
abramdemski,38,21,17,0,17,2528,16676,4758
marius-hobbhahn,31,17,14,0,14,2580,12820,4745
johnswentworth,30,17,13,0,13,2524,8059,4032
ricraz,29,16,13,0,13,2621,17176,4529
ruby,25,14,11,0,11,2538,11522,4635
jessica-liu-taylor,26,10,16,0,10,2568,14379,5148
