author,total,pre (<=2022),post (>=2024),other_year,min_pre_post,wc_min,wc_max,wc_mean
neel-nanda-1,80,40,40,0,40,1618,17990,4316
johnswentworth,79,39,40,0,39,1548,8059,2742
steve2152,79,39,40,0,39,1686,18511,5468
zvi,77,38,39,0,38,1773,34919,6635
raemon,76,39,37,0,37,1545,13273,3155
abramdemski,67,40,27,0,27,1579,16676,3574
kaj_sotala,63,40,23,0,23,1526,20636,4451
ricraz,62,39,23,0,23,1535,17176,3158
ruby,51,29,22,0,22,1541,11522,3258
jessica-liu-taylor,46,24,22,0,22,1560,14379,3774
marius-hobbhahn,42,23,19,0,19,1656,12820,4052
