author,total,pre (<=2022),post (>=2024),other_year,min_pre_post,wc_min,wc_max,wc_mean
zvi,73,35,38,0,35,2131,34919,6899
neel-nanda-1,72,37,35,0,35,2009,17990,4604
steve2152,72,37,35,0,35,2081,18511,5821
raemon,60,29,31,0,29,2073,13273,3513
johnswentworth,52,25,27,0,25,2001,8059,3263
abramdemski,54,30,24,0,24,2029,16676,4011
ricraz,46,25,21,0,21,2020,17176,3656
kaj_sotala,55,36,19,0,19,2032,20636,4846
marius-hobbhahn,39,21,18,0,18,2074,12820,4227
jessica-liu-taylor,37,17,20,0,17,2038,14379,4287
ruby,31,18,13,0,13,2059,11522,4183
