n_tokens,n_sentences,n_vocab,type_token_ratio,avg_word_len,std_word_len,median_word_len,max_word_len,word_len_1_frac,word_len_2_frac,word_len_3_frac,word_len_4_frac,word_len_5_frac,word_len_6_frac,avg_sent_len,std_sent_len,median_sent_len,max_sent_len,min_sent_len,hapax_ratio,hapax_dis_ratio,yule_k,simpson_d,brunet_w,honore_r,fw_the,fw_be,fw_to,fw_of,fw_and,fw_a,fw_in,fw_that,fw_have,fw_i,fw_it,fw_for,fw_not,fw_on,fw_with,fw_he,fw_as,fw_you,fw_do,fw_at,fw_this,fw_but,fw_his,fw_by,fw_from,fw_they,fw_we,fw_say,fw_her,fw_she,fw_or,fw_an,fw_will,fw_my,fw_one,fw_all,fw_would,fw_there,fw_their,fw_what,fw_so,fw_up,fw_out,fw_if,fw_about,fw_who,fw_get,fw_which,fw_go,fw_me,cat_hedge_rate,cat_amplifier_rate,cat_discourse_rate,cat_conj_rate,punct_comma_rate,punct_period_rate,punct_semicolon_rate,punct_colon_rate,punct_excl_rate,punct_question_rate,punct_dash_rate,punct_paren_rate,punct_apost_rate,punct_dquote_rate,contraction_rate,pronoun_start_rate,avg_paragraph_len,pos_noun,pos_verb,pos_adj,pos_adv,pos_pron,pos_det,pos_prep,pos_conj,pos_modal,uppercase_ratio,char_a_rate,char_e_rate,char_i_rate,char_o_rate,char_u_rate,author,passage_id
1058,64,377,0.3563327032136106,4.883742911153119,2.6526550486731706,4.0,15,0.02930056710775047,0.1843100189035917,0.14555765595463138,0.17296786389413987,0.13043478260869565,0.07561436672967864,17.078125,10.555366951668473,17.0,42,1,0.1937618147448015,0.07088846880907372,87.21023724186234,0.00872927445618641,12.309396282412017,1526.4413522567895,0.04064272211720227,0.004725897920604915,0.03213610586011342,0.0330812854442344,0.010396975425330813,0.02551984877126654,0.010396975425330813,0.013232514177693762,0.002835538752362949,0.003780718336483932,0.005671077504725898,0.00945179584120983,0.003780718336483932,0.003780718336483932,0.006616257088846881,0.0,0.00945179584120983,0.004725897920604915,0.003780718336483932,0.003780718336483932,0.017013232514177693,0.004725897920604915,0.0,0.001890359168241966,0.001890359168241966,0.001890359168241966,0.022684310018903593,0.001890359168241966,0.0,0.0,0.001890359168241966,0.008506616257088847,0.001890359168241966,0.0,0.001890359168241966,0.005671077504725898,0.006616257088846881,0.004725897920604915,0.000945179584120983,0.00945179584120983,0.001890359168241966,0.001890359168241966,0.001890359168241966,0.007561436672967864,0.007561436672967864,0.001890359168241966,0.001890359168241966,0.00945179584120983,0.0,0.0,0.008506616257088847,0.003780718336483932,0.000945179584120983,0.03213610586011342,0.04253308128544423,0.05860113421550094,0.000945179584120983,0.012287334593572778,0.0,0.000945179584120983,0.007561436672967864,0.005671077504725898,0.02930056710775047,0.01890359168241966,0.02930056710775047,0.109375,1058.0,1.0,0,0,0,0,0,0,0,0,0.01711343328789944,0.08349038823972861,0.11477572559366754,0.07538635506973237,0.07745947983415002,0.0365623822088202,abramdemski,abramdemski_0000
1030,62,369,0.35825242718446604,4.593203883495145,2.536060783624349,4.0,13,0.06116504854368932,0.15922330097087378,0.1679611650485437,0.19611650485436893,0.13300970873786408,0.05533980582524272,17.612903225806452,10.263236675393921,15.0,50,3,0.20485436893203884,0.06019417475728155,96.12593081346027,0.009621934765584459,12.304154985774922,1620.1701873237587,0.059223300970873784,0.008737864077669903,0.030097087378640777,0.02233009708737864,0.009708737864077669,0.02233009708737864,0.011650485436893204,0.01262135922330097,0.001941747572815534,0.006796116504854369,0.010679611650485437,0.01650485436893204,0.0048543689320388345,0.002912621359223301,0.003883495145631068,0.0,0.003883495145631068,0.02330097087378641,0.002912621359223301,0.003883495145631068,0.01650485436893204,0.006796116504854369,0.0,0.0048543689320388345,0.002912621359223301,0.000970873786407767,0.010679611650485437,0.0,0.0,0.0,0.001941747572815534,0.003883495145631068,0.005825242718446602,0.001941747572815534,0.006796116504854369,0.003883495145631068,0.003883495145631068,0.002912621359223301,0.000970873786407767,0.001941747572815534,0.002912621359223301,0.001941747572815534,0.005825242718446602,0.009708737864077669,0.006796116504854369,0.0,0.0,0.005825242718446602,0.003883495145631068,0.0,0.0048543689320388345,0.002912621359223301,0.001941747572815534,0.043689320388349516,0.05048543689320388,0.06310679611650485,0.0048543689320388345,0.011650485436893204,0.000970873786407767,0.002912621359223301,0.019417475728155338,0.010679611650485437,0.031067961165048542,0.013592233009708738,0.031067961165048542,0.08064516129032258,1030.0,1.0,0,0,0,0,0,0,0,0,0.01990128960356631,0.06715958102279729,0.12096939823372356,0.07948243992606285,0.07948243992606285,0.039433148490449786,abramdemski,abramdemski_0001
1095,69,398,0.3634703196347032,4.49041095890411,2.394371122679588,4.0,13,0.0684931506849315,0.16073059360730593,0.15342465753424658,0.1954337899543379,0.13607305936073058,0.07123287671232877,16.130434782608695,9.425394380674685,15.0,59,1,0.2219178082191781,0.047488584474885846,95.24405245928983,0.00953311128363093,12.174479786032181,1797.0366694295094,0.0365296803652968,0.0091324200913242,0.04657534246575343,0.025570776255707764,0.011872146118721462,0.03287671232876712,0.010958904109589041,0.006392694063926941,0.0036529680365296802,0.031050228310502283,0.00821917808219178,0.014611872146118721,0.0018264840182648401,0.0036529680365296802,0.006392694063926941,0.0,0.0018264840182648401,0.0136986301369863,0.005479452054794521,0.0036529680365296802,0.0136986301369863,0.0045662100456621,0.0,0.0036529680365296802,0.0045662100456621,0.0009132420091324201,0.0,0.0,0.0,0.0,0.0,0.0009132420091324201,0.0,0.00821917808219178,0.0073059360730593605,0.0009132420091324201,0.01004566210045662,0.0027397260273972603,0.0009132420091324201,0.0036529680365296802,0.005479452054794521,0.0018264840182648401,0.0009132420091324201,0.0045662100456621,0.0045662100456621,0.0,0.0009132420091324201,0.00821917808219178,0.0,0.0045662100456621,0.012785388127853882,0.0036529680365296802,0.0027397260273972603,0.039269406392694065,0.048401826484018265,0.06027397260273973,0.0045662100456621,0.01004566210045662,0.0009132420091324201,0.005479452054794521,0.014611872146118721,0.0091324200913242,0.017351598173515982,0.0091324200913242,0.01004566210045662,0.2463768115942029,1095.0,1.0,0,0,0,0,0,0,0,0,0.018086625416468348,0.06777956556717618,0.10699919549477072,0.07944489139179405,0.08728881737731295,0.029565567176186646,abramdemski,abramdemski_0002
1029,58,388,0.3770651117589893,4.685131195335277,2.580103000650106,4.0,14,0.043731778425655975,0.18172983479105928,0.16132167152575316,0.17881438289601556,0.11564625850340136,0.09523809523809523,18.75862068965517,9.07689439679709,19.0,49,1,0.2303206997084548,0.0641399416909621,86.28302077460167,0.008636695367418784,12.037254313615978,1782.3185307970937,0.031098153547133137,0.010689990281827016,0.047619047619047616,0.01652089407191448,0.009718172983479106,0.028182701652089408,0.015549076773566569,0.015549076773566569,0.008746355685131196,0.014577259475218658,0.010689990281827016,0.010689990281827016,0.003887269193391642,0.008746355685131196,0.004859086491739553,0.0,0.003887269193391642,0.021379980563654033,0.007774538386783284,0.0058309037900874635,0.013605442176870748,0.007774538386783284,0.0,0.0,0.008746355685131196,0.003887269193391642,0.012633624878522837,0.001943634596695821,0.0,0.0,0.001943634596695821,0.008746355685131196,0.0009718172983479105,0.003887269193391642,0.0058309037900874635,0.004859086491739553,0.0029154518950437317,0.003887269193391642,0.0009718172983479105,0.009718172983479106,0.0009718172983479105,0.001943634596695821,0.006802721088435374,0.003887269193391642,0.007774538386783284,0.0009718172983479105,0.001943634596695821,0.008746355685131196,0.0,0.0,0.014577259475218658,0.0009718172983479105,0.004859086491739553,0.0369290573372206,0.05539358600583091,0.056365403304178816,0.0009718172983479105,0.008746355685131196,0.0009718172983479105,0.003887269193391642,0.010689990281827016,0.003887269193391642,0.03498542274052478,0.019436345966958212,0.03498542274052478,0.15517241379310345,1029.0,1.0,0,0,0,0,0,0,0,0,0.015600127347978351,0.07402937034801851,0.11567089116877892,0.0687990343995172,0.08569704284852142,0.03339368336350835,abramdemski,abramdemski_0003
1067,63,416,0.3898781630740394,4.933458294283037,2.9281101407139585,4.0,15,0.03936269915651359,0.19119025304592316,0.14995313964386128,0.15932521087160262,0.12839737582005623,0.08247422680412371,17.41269841269841,11.77114432628854,13.0,55,1,0.24835988753514526,0.05060918462980318,76.5400456218725,0.007661184679037332,11.836857346862375,1920.929934133463,0.044048734770384255,0.014058106841611996,0.02717900656044986,0.022492970946579195,0.007497656982193065,0.022492970946579195,0.01218369259606373,0.01499531396438613,0.005623242736644799,0.016869728209934397,0.011246485473289597,0.005623242736644799,0.006560449859418931,0.004686035613870665,0.004686035613870665,0.0,0.01218369259606373,0.010309278350515464,0.0009372071227741331,0.0018744142455482662,0.015932521087160263,0.008434864104967198,0.0,0.005623242736644799,0.0018744142455482662,0.0,0.007497656982193065,0.0,0.0,0.0,0.0018744142455482662,0.007497656982193065,0.0028116213683223993,0.0028116213683223993,0.0018744142455482662,0.0037488284910965324,0.005623242736644799,0.0037488284910965324,0.0009372071227741331,0.005623242736644799,0.006560449859418931,0.0037488284910965324,0.006560449859418931,0.010309278350515464,0.0018744142455482662,0.0018744142455482662,0.004686035613870665,0.005623242736644799,0.0,0.0,0.008434864104967198,0.004686035613870665,0.0037488284910965324,0.04029990627928772,0.05154639175257732,0.05248359887535145,0.0018744142455482662,0.007497656982193065,0.0009372071227741331,0.010309278350515464,0.014058106841611996,0.00937207122774133,0.02530459231490159,0.01874414245548266,0.02530459231490159,0.14285714285714285,1067.0,1.0,0,0,0,0,0,0,0,0,0.021518230723251645,0.06883720930232558,0.11274418604651162,0.08055813953488372,0.08427906976744186,0.035906976744186046,abramdemski,abramdemski_0004
1080,57,402,0.37222222222222223,5.262037037037037,2.8839985614302868,5.0,14,0.040740740740740744,0.16296296296296298,0.12222222222222222,0.15925925925925927,0.10925925925925926,0.08796296296296297,19.333333333333332,11.497266392622379,18.0,60,1,0.2101851851851852,0.06851851851851852,80.21262002743484,0.008028695980503209,12.062835235965645,1604.489120392882,0.040740740740740744,0.009259259259259259,0.03333333333333333,0.028703703703703703,0.006481481481481481,0.025925925925925925,0.013888888888888888,0.012037037037037037,0.004629629629629629,0.013888888888888888,0.007407407407407408,0.010185185185185186,0.009259259259259259,0.002777777777777778,0.003703703703703704,0.0,0.010185185185185186,0.001851851851851852,0.000925925925925926,0.000925925925925926,0.01574074074074074,0.005555555555555556,0.0,0.001851851851851852,0.001851851851851852,0.0,0.008333333333333333,0.000925925925925926,0.0,0.0,0.004629629629629629,0.008333333333333333,0.001851851851851852,0.001851851851851852,0.004629629629629629,0.001851851851851852,0.002777777777777778,0.005555555555555556,0.002777777777777778,0.000925925925925926,0.000925925925925926,0.000925925925925926,0.001851851851851852,0.006481481481481481,0.002777777777777778,0.0,0.001851851851851852,0.012962962962962963,0.0,0.001851851851851852,0.008333333333333333,0.009259259259259259,0.004629629629629629,0.03148148148148148,0.04537037037037037,0.049074074074074076,0.000925925925925926,0.011111111111111112,0.000925925925925926,0.004629629629629629,0.041666666666666664,0.005555555555555556,0.020370370370370372,0.03148148148148148,0.020370370370370372,0.05263157894736842,1080.0,1.0,0,0,0,0,0,0,0,0,0.013542107490478206,0.07052722558340536,0.13085566119273984,0.08660328435609334,0.07450302506482281,0.019878997407087293,abramdemski,abramdemski_0005
1112,41,443,0.3983812949640288,4.974820143884892,2.8561581462063663,4.0,17,0.044964028776978415,0.1789568345323741,0.14838129496402877,0.164568345323741,0.11061151079136691,0.06564748201438848,27.26829268292683,16.348378587827053,26.0,69,7,0.25,0.06924460431654676,95.42725531804771,0.009551314843714588,11.694473789422064,1883.1300335400385,0.05755395683453238,0.008093525179856115,0.03866906474820144,0.02877697841726619,0.01079136690647482,0.025179856115107913,0.014388489208633094,0.019784172661870502,0.006294964028776978,0.017985611510791366,0.007194244604316547,0.014388489208633094,0.00539568345323741,0.009892086330935251,0.00539568345323741,0.0,0.006294964028776978,0.0017985611510791368,0.002697841726618705,0.0017985611510791368,0.008992805755395683,0.002697841726618705,0.0,0.0035971223021582736,0.0017985611510791368,0.0017985611510791368,0.01618705035971223,0.0,0.0,0.0,0.008093525179856115,0.00539568345323741,0.0035971223021582736,0.0044964028776978415,0.002697841726618705,0.0,0.0044964028776978415,0.0008992805755395684,0.0008992805755395684,0.002697841726618705,0.0017985611510791368,0.0008992805755395684,0.0017985611510791368,0.0017985611510791368,0.0044964028776978415,0.0008992805755395684,0.0,0.008093525179856115,0.0,0.007194244604316547,0.011690647482014389,0.006294964028776978,0.0017985611510791368,0.044964028776978415,0.053057553956834536,0.03327338129496403,0.0,0.006294964028776978,0.0044964028776978415,0.0,0.026079136690647483,0.014388489208633094,0.00539568345323741,0.007194244604316547,0.00539568345323741,0.21951219512195122,1112.0,1.0,0,0,0,0,0,0,0,0,0.014333772122275852,0.07217422606191505,0.12742980561555076,0.07631389488840892,0.08369330453563716,0.02681785457163427,abramdemski,abramdemski_0006
1046,45,374,0.3575525812619503,4.765774378585086,2.7623553011000648,4.0,14,0.0497131931166348,0.20650095602294455,0.14722753346080306,0.14531548757170173,0.11663479923518165,0.06883365200764818,24.133333333333333,13.102332277541702,22.0,54,1,0.2112810707456979,0.05736137667304015,103.37112335437924,0.01034700430896466,12.30120739896529,1699.5558909083013,0.05736137667304015,0.0038240917782026767,0.027724665391969407,0.032504780114722756,0.009560229445506692,0.03537284894837476,0.010516252390057362,0.0124282982791587,0.0038240917782026767,0.011472275334608031,0.020076481835564052,0.008604206500956023,0.008604206500956023,0.0076481835564053535,0.0038240917782026767,0.0,0.010516252390057362,0.0076481835564053535,0.0,0.0038240917782026767,0.016252390057361378,0.0038240917782026767,0.0,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.0076481835564053535,0.0009560229445506692,0.0,0.0,0.0076481835564053535,0.006692160611854685,0.0,0.0076481835564053535,0.0009560229445506692,0.0009560229445506692,0.0028680688336520078,0.006692160611854685,0.0009560229445506692,0.010516252390057362,0.0028680688336520078,0.0019120458891013384,0.0,0.009560229445506692,0.0057361376673040155,0.0009560229445506692,0.0038240917782026767,0.0076481835564053535,0.0009560229445506692,0.0038240917782026767,0.0057361376673040155,0.0009560229445506692,0.0009560229445506692,0.04206500956022945,0.05066921606118547,0.04780114722753346,0.0009560229445506692,0.010516252390057362,0.0028680688336520078,0.0019120458891013384,0.004780114722753346,0.017208413001912046,0.036328871892925434,0.032504780114722756,0.036328871892925434,0.2,1046.0,1.0,0,0,0,0,0,0,0,0,0.013298283593629194,0.07859922178988327,0.12062256809338522,0.08190661478599222,0.07237354085603113,0.03696498054474708,abramdemski,abramdemski_0007
1100,57,349,0.31727272727272726,5.246363636363636,2.9394241016884206,4.0,14,0.028181818181818183,0.16454545454545455,0.15,0.17727272727272728,0.10636363636363637,0.04454545454545455,19.50877192982456,9.80712738851957,20.0,48,1,0.18363636363636363,0.04909090909090909,126.26446280991736,0.012637935313094548,12.911619634069352,1662.6325476982822,0.06818181818181818,0.007272727272727273,0.016363636363636365,0.024545454545454544,0.016363636363636365,0.01818181818181818,0.013636363636363636,0.015454545454545455,0.0,0.01,0.00909090909090909,0.0036363636363636364,0.004545454545454545,0.019090909090909092,0.011818181818181818,0.0018181818181818182,0.006363636363636364,0.0,0.0,0.004545454545454545,0.02181818181818182,0.004545454545454545,0.0009090909090909091,0.0036363636363636364,0.0,0.0,0.011818181818181818,0.0027272727272727275,0.0,0.0,0.004545454545454545,0.0018181818181818182,0.0018181818181818182,0.0036363636363636364,0.0027272727272727275,0.004545454545454545,0.0036363636363636364,0.0009090909090909091,0.0009090909090909091,0.005454545454545455,0.0036363636363636364,0.0,0.0018181818181818182,0.005454545454545455,0.0036363636363636364,0.0009090909090909091,0.0009090909090909091,0.008181818181818182,0.0,0.0,0.004545454545454545,0.0018181818181818182,0.0036363636363636364,0.03636363636363636,0.05181818181818182,0.05272727272727273,0.0027272727272727275,0.02,0.0,0.0009090909090909091,0.03909090909090909,0.006363636363636364,0.01090909090909091,0.023636363636363636,0.01090909090909091,0.10526315789473684,1100.0,1.0,0,0,0,0,0,0,0,0,0.018425460636515914,0.07399141630901288,0.13064377682403433,0.09098712446351931,0.063862660944206,0.02334763948497854,abramdemski,abramdemski_0008
1097,54,402,0.3664539653600729,4.809480401093892,2.87401545170112,4.0,14,0.03919781221513218,0.21513217866909753,0.16134913400182316,0.13217866909753875,0.13673655423883319,0.0528714676390155,20.574074074074073,10.702374004296727,19.0,60,3,0.22789425706472197,0.07019143117593436,131.0610108450244,0.013118059205929908,12.130188938794598,1851.4042454148962,0.06927985414767548,0.010938924339106655,0.04649042844120328,0.03646308113035551,0.008204193254329991,0.023701002734731084,0.016408386508659983,0.008204193254329991,0.0036463081130355514,0.010938924339106655,0.013673655423883319,0.009115770282588878,0.0027347310847766638,0.007292616226071103,0.006381039197812215,0.0,0.007292616226071103,0.0018231540565177757,0.0009115770282588879,0.006381039197812215,0.015496809480401094,0.004557885141294439,0.0,0.0027347310847766638,0.0,0.0009115770282588879,0.0018231540565177757,0.0018231540565177757,0.0018231540565177757,0.0,0.0027347310847766638,0.0027347310847766638,0.0027347310847766638,0.0036463081130355514,0.0009115770282588879,0.0054694621695533276,0.006381039197812215,0.0018231540565177757,0.0,0.006381039197812215,0.007292616226071103,0.0,0.0018231540565177757,0.004557885141294439,0.0054694621695533276,0.0009115770282588879,0.0,0.010938924339106655,0.0,0.0027347310847766638,0.0054694621695533276,0.0018231540565177757,0.0036463081130355514,0.03646308113035551,0.0528714676390155,0.05104831358249772,0.0054694621695533276,0.0036463081130355514,0.0,0.0,0.023701002734731084,0.01276207839562443,0.011850501367365542,0.02917046490428441,0.011850501367365542,0.12962962962962962,1097.0,1.0,0,0,0,0,0,0,0,0,0.017417417417417418,0.06857785272625071,0.12141652613827993,0.07963275248266817,0.07588532883642496,0.03204047217537943,abramdemski,abramdemski_0009
